id,website_id,title,T2_S_score,T2_rank
20725718,2268,ফুটবলারের সঙ্গে প্রেম করে চাকরি হারালেন লেস্টার কোচ,84.61538462,1.0
20725717,2268,রেকর্ড গড়লো ‘ক্রু’,84.61538462,1.0
20725716,2268,অন্যরকম শনিবার,84.61538462,1.0
20725715,2268,অন্য এক কিয়ারা,84.61538462,1.0
20725714,2268,এমি জান্নাতের ‘মনের বারণ’,84.61538462,1.0
20725729,2268,টাঙ্গাইলে নিয়ন্ত্রণহীন প্রাইভেটকারের ধাক্কায় নিহত ২,84.61538462,1.0
20725730,2268,ডুমুরিয়ায় সড়ক দুর্ঘটনায় নিহত ১,84.61538462,1.0
20725731,2268,বিদেশি ঋণের সুদ পরিশোধে ব্যয় বাড়ায় উদ্বেগ,84.61538462,1.0
20725740,2268,বাবা-ছেলের কোটি টাকার প্রতারণা,84.61538462,1.0
20725746,2268,এবার ঢাবি’র কোয়ার্টারে শিক্ষার্থীর আত্মহত্যা,84.61538462,1.0
20725745,2268,নারায়ণগঞ্জে প্রেমিকাকে ধর্ষণ শেষে হত্যা ৩ জনের যাবজ্জীবন,84.61538462,1.0
20725744,2268,যুক্তরাষ্ট্রে প্রায় সাড়ে ৭ কোটি গ্রাহকের ব্যক্তিগত তথ্য ফাঁস,84.61538462,1.0
20725743,2268,‘ইন্ডিয়া জোট আমি তৈরি করেছি নামটাও আমার দেয়া ভোটের পর ওটা দেখে নেবো’,84.61538462,1.0
20725742,2268,ঈদের ছুটি একদিন বাড়ানোর সুপারিশ,84.61538462,1.0
20725741,2268,লিটারে ২ টাকা ২৫ পয়সা কমলো ডিজেল ও কেরোসিনের দাম,84.61538462,1.0
20725739,2268,ঝাঁঝালো বক্তব্য দিয়ে রাজনীতিতে নামলেন সুনীতা কেজরিওয়াল,84.61538462,1.0
20725732,2268,বেক্সিমকো’র ২৬২৫ কোটি টাকার বন্ড অনুমোদন,84.61538462,1.0
20725738,2268,স্বামীর বিরুদ্ধে হয়রানির অভিযোগ অধিকারকর্মী সাধনার,84.61538462,1.0
20725737,2268,ছাত্রলীগ জোর করে বিশ্ববিদ্যালয় দখলের চেষ্টা করছে,84.61538462,1.0
20725736,2268,চট্টগ্রামে লাগামহীন অবৈধ ব্যাটারি রিকশা দৈনিক ৭০ লাখ টাকার ভাগবাটোয়ারা,84.61538462,1.0
